country,legislature,term,leg_start_year,row_count,n_unique_emails,person_count_legistype,ltype,url,cc,leg_start_date,lastmod,cc3,pop2024,lastmod_year
Madagascar,National Assembly,2013-2018,2013,157,0,157,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/9a75c94fb3f01a45e5616242dec9743ba96f137f/data/Madagascar/Assembly/term-2013.csv,MG,2013-12-20,1554165691,MDG,31056610.0,2019
Ivory-Coast,National Assembly,2e législature de la 2e République,2012,241,0,241,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/554a6cb306153130ac5558e4c015471d63e57cb7/data/Ivory_Coast/Assembly/term-2.2.csv,CI,2012-03-12,1528387224,CIV,29603302.0,2018
Venezuela,National Assembly,4th National Assembly of Venezuela,2016,167,0,279,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/fe4fa166aac187958b9e215f8ff45e1f0ccba84b/data/Venezuela/Assembly/term-4.csv,VE,2016-01-05,1557289771,VEN,29395334.0,2019
Venezuela,National Assembly,3rd National Assembly of Venezuela,2011,162,0,279,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/b36339abec45a13d4025b4e6c0885357b7dcf461/data/Venezuela/Assembly/term-3.csv,VE,2011-01-05,1557289771,VEN,29395334.0,2019
Cameroon,Sénat,9e législature,2013,100,0,100,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/554a6cb306153130ac5558e4c015471d63e57cb7/data/Cameroon/Senate/term-9.csv,CM,2013-01-01,1548935089,CMR,29394433.0,2019
Cameroon,Assemblée Nationale,7e législature,2002,180,0,964,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/37a65e37a70ff4dfea4290d872f2ba47d0a20d11/data/Cameroon/Assembly/term-7.csv,CM,2002-01-01,1557279334,CMR,29394433.0,2019
Cameroon,Assemblée Nationale,4e législature,1988,10,0,964,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/37a65e37a70ff4dfea4290d872f2ba47d0a20d11/data/Cameroon/Assembly/term-4.csv,CM,1988-01-01,1557279334,CMR,29394433.0,2019
Cameroon,Assemblée Nationale,3e législature,1983,122,0,964,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/de9b2f369987b8ae392e8c141e21bfdd7482a95d/data/Cameroon/Assembly/term-3.csv,CM,1983-01-01,1557279334,CMR,29394433.0,2019
Cameroon,Assemblée Nationale,6e législature,1997,180,0,964,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/12c8c4f063b5310e3f0048a144993c7dce68f8e8/data/Cameroon/Assembly/term-6.csv,CM,1997-01-01,1557279334,CMR,29394433.0,2019
Cameroon,Assemblée Nationale,5e législature,1992,172,0,964,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/37a65e37a70ff4dfea4290d872f2ba47d0a20d11/data/Cameroon/Assembly/term-5.csv,CM,1992-01-01,1557279334,CMR,29394433.0,2019
